Mês Ano,Área de atuação (Função),Subfunção,Valor Empenhado,Valor Liquidado,Valor Pago,Valor Restos a Pagar Pagos,Unnamed: 7,Ano
08/2018,10 - Saúde,121 - Planejamento e orçamento,"5.816.898,82","130.347,74","208.355,91","235.279,61",,2018
08/2018,10 - Saúde,"391 - Patrimônio histórico, artístico e arqueológico","550.106,21","1.178.178,67","656.971,29","1.140,00",,2018
08/2018,10 - Saúde,846 - Outros encargos especiais,"0,00","100.987.735,90","100.987.735,90","0,00",,2018
08/2018,10 - Saúde,131 - Comunicação social,"941.472,63","18.051.998,42","22.732.444,26","603.334,31",,2018
08/2018,10 - Saúde,125 - Normatização e fiscalização,"690.459,21","1.488.685,34","1.498.016,18","49.358,17",,2018
08/2018,10 - Saúde,306 - Alimentação e nutrição,"- 228.465,16","- 275.411,82","50.799,92","60.560,00",,2018
08/2018,10 - Saúde,541 - Preservação e conservação ambiental,"- 2.296.000,00","5.412,56","5.855,66","2.810,00",,2018
08/2018,10 - Saúde,331 - Proteção e benefícios ao trabalhador,"5.897.257,56","49.166.877,39","48.571.679,50","0,00",,2018
08/2018,10 - Saúde,301 - Atenção básica,"1.443.866.474,91","1.509.780.886,95","1.499.831.896,55","6.274.032,91",,2018
08/2018,10 - Saúde,512 - Saneamento básico urbano,"45.204.532,42","22.713.580,89","25.532.978,97","25.221.347,09",,2018
08/2018,10 - Saúde,572 - Desenvolvimento tecnológico e engenharia,"29.677.993,50","7.027.482,72","4.936.977,07","24.704.963,72",,2018
08/2018,10 - Saúde,573 - Difusão do conhecimento científico e tecnológico,"4.233.221,38","3.446.045,87","2.565.931,71","16.697,94",,2018
08/2018,10 - Saúde,511 - Saneamento básico rural,"3.368.880,86","4.158.441,42","3.539.083,46","9.913.327,73",,2018
08/2018,10 - Saúde,303 - Suporte profilático e terapêutico,"1.022.804.909,83","1.279.763.375,77","1.334.335.709,05","89.649.877,59",,2018
08/2018,10 - Saúde,128 - Formação de recursos humanos,"7.919.066,88","101.008.782,89","101.152.911,76","2.607.803,06",,2018
08/2018,10 - Saúde,571 - Desenvolvimento científico,"72.862.494,50","45.304.793,37","47.558.002,02","6.058.631,66",,2018
08/2018,10 - Saúde,423 - Assistência aos povos indígenas,"116.219.658,62","64.433.015,01","68.682.836,61","10.289.029,12",,2018
08/2018,10 - Saúde,122 - Administração geral,"242.336.890,40","714.814.235,86","703.838.907,26","2.681.122,25",,2018
08/2018,10 - Saúde,305 - Vigilância epidemiológica,"1.164.169.719,99","931.868.513,52","873.798.568,00","92.801.862,00",,2018
08/2018,10 - Saúde,304 - Vigilância sanitária,"25.262.805,67","132.584.046,76","132.239.075,08","8.839.184,98",,2018
08/2018,10 - Saúde,302 - Assistência hospitalar e ambulatorial,"4.527.021.295,09","4.267.194.010,81","4.254.874.376,62","44.577.027,79",,2018
09/2018,10 - Saúde,364 - Ensino superior,"0,00","0,00","0,00","0,00",,2018
09/2018,10 - Saúde,131 - Comunicação social,"36.073.643,61","4.257.461,75","3.715.103,57","- 635.609,95",,2018
09/2018,10 - Saúde,"422 - Direitos individuais, coletivos e difusos","7.750.210,00","19.604,55","5.204,55","1.650.313,72",,2018
09/2018,10 - Saúde,124 - Controle interno,"0,00","453.617,68","10.168,79","8.950,59",,2018
09/2018,10 - Saúde,846 - Outros encargos especiais,"0,00","101.129.987,40","101.128.481,52","0,00",,2018
09/2018,10 - Saúde,"391 - Patrimônio histórico, artístico e arqueológico","1.195.732,36","655.458,61","674.121,94","0,00",,2018
09/2018,10 - Saúde,573 - Difusão do conhecimento científico e tecnológico,"1.352.637,65","1.808.179,32","2.433.018,94","12.777,31",,2018
09/2018,10 - Saúde,541 - Preservação e conservação ambiental,"55.437,07","17.006,34","16.782,48","662,40",,2018
09/2018,10 - Saúde,126 - Tecnologia da informação,"15.888.983,66","32.171.469,82","33.994.099,41","1.778.961,63",,2018
09/2018,10 - Saúde,306 - Alimentação e nutrição,"- 1.228.831,57","- 229.559,40","715.085,38","53.720,00",,2018
09/2018,10 - Saúde,572 - Desenvolvimento tecnológico e engenharia,"3.492.897,78","2.257.537,11","3.451.394,35","3.896.841,41",,2018
09/2018,10 - Saúde,128 - Formação de recursos humanos,"30.328.528,91","82.158.060,67","80.746.807,20","64.760.333,25",,2018
09/2018,10 - Saúde,125 - Normatização e fiscalização,"446.271,10","2.406.433,55","2.399.406,70","0,00",,2018
09/2018,10 - Saúde,304 - Vigilância sanitária,"101.977.613,63","4.038.493,51","4.328.898,78","742.572,17",,2018
09/2018,10 - Saúde,331 - Proteção e benefícios ao trabalhador,"6.063.943,99","48.550.493,47","48.665.431,42","0,00",,2018
09/2018,10 - Saúde,512 - Saneamento básico urbano,"- 17.033.305,97","22.175.906,90","22.611.538,57","13.716.909,40",,2018
09/2018,10 - Saúde,303 - Suporte profilático e terapêutico,"951.758.495,72","1.171.143.702,22","1.292.000.199,29","12.097.856,82",,2018
09/2018,10 - Saúde,305 - Vigilância epidemiológica,"326.117.971,49","323.464.549,92","348.875.623,66","74.268.331,20",,2018
09/2018,10 - Saúde,511 - Saneamento básico rural,"14.364.445,01","4.460.092,09","4.759.379,08","11.324.647,85",,2018
09/2018,10 - Saúde,121 - Planejamento e orçamento,"979.822,43","2.550.310,02","1.947.221,44","0,00",,2018
09/2018,10 - Saúde,423 - Assistência aos povos indígenas,"350.311.924,80","113.346.927,43","120.068.033,16","2.067.514,91",,2018
09/2018,10 - Saúde,301 - Atenção básica,"1.633.804.109,52","1.711.529.888,48","1.715.220.768,98","19.407.435,68",,2018
09/2018,10 - Saúde,571 - Desenvolvimento científico,"44.598.149,17","34.818.251,29","30.708.399,20","4.200.578,90",,2018
09/2018,10 - Saúde,302 - Assistência hospitalar e ambulatorial,"942.227.245,52","4.158.056.931,83","4.171.941.315,90","64.496.461,10",,2018
09/2018,10 - Saúde,122 - Administração geral,"383.935.242,73","888.169.802,12","884.934.273,80","4.541.256,28",,2018
10/2018,10 - Saúde,846 - Outros encargos especiais,"- 6.000.000,00","100.782.713,99","100.784.219,87","0,00",,2018
10/2018,10 - Saúde,131 - Comunicação social,"71.769.966,56","25.152.951,99","21.948.279,29","520.874,88",,2018
10/2018,10 - Saúde,512 - Saneamento básico urbano,"39.426.626,38","12.783.333,43","14.945.639,99","34.752.070,42",,2018
10/2018,10 - Saúde,"391 - Patrimônio histórico, artístico e arqueológico","1.096.177,49","1.654.948,29","1.393.944,18","1.570,00",,2018
10/2018,10 - Saúde,306 - Alimentação e nutrição,"11.438.143,52","261.843,88","199.571,97","77.270,00",,2018
10/2018,10 - Saúde,572 - Desenvolvimento tecnológico e engenharia,"82.893.408,11","22.462.795,00","11.817.303,51","2.752.298,99",,2018
10/2018,10 - Saúde,124 - Controle interno,"0,00","44.776,42","476.817,43","8.840,69",,2018
10/2018,10 - Saúde,"422 - Direitos individuais, coletivos e difusos","- 17.195.684,00","1.962.607,21","1.500.966,55","832.996,84",,2018
10/2018,10 - Saúde,541 - Preservação e conservação ambiental,"91.770,96","15.048,60","12.764,00","0,00",,2018
10/2018,10 - Saúde,121 - Planejamento e orçamento,"313.670,61","1.041.600,76","1.638.958,94","78.192,00",,2018
10/2018,10 - Saúde,573 - Difusão do conhecimento científico e tecnológico,"1.088.280,50","4.084.555,10","1.936.195,60","8.608,42",,2018
10/2018,10 - Saúde,331 - Proteção e benefícios ao trabalhador,"8.446.055,69","49.487.640,45","49.092.199,52","0,00",,2018
10/2018,10 - Saúde,126 - Tecnologia da informação,"36.699.374,61","38.365.316,96","28.194.507,71","1.217.162,52",,2018
10/2018,10 - Saúde,128 - Formação de recursos humanos,"231.292.063,91","80.876.913,82","78.714.633,87","5.151.038,95",,2018
10/2018,10 - Saúde,423 - Assistência aos povos indígenas,"36.106.684,49","214.886.014,70","197.635.548,46","1.835.441,20",,2018
10/2018,10 - Saúde,511 - Saneamento básico rural,"24.116.566,26","3.994.935,91","3.967.529,72","4.587.104,53",,2018
10/2018,10 - Saúde,304 - Vigilância sanitária,"- 2.213.724,31","79.088.499,64","78.977.711,19","125.200,91",,2018
10/2018,10 - Saúde,301 - Atenção básica,"3.280.935.297,91","1.762.305.312,50","1.758.905.727,07","148.412.082,91",,2018
10/2018,10 - Saúde,305 - Vigilância epidemiológica,"911.980.337,02","495.613.772,10","528.708.683,64","29.849.542,95",,2018
10/2018,10 - Saúde,303 - Suporte profilático e terapêutico,"1.264.738.523,60","1.560.998.020,07","1.573.355.058,89","33.333.971,50",,2018
10/2018,10 - Saúde,125 - Normatização e fiscalização,"751.509,94","1.612.374,52","1.613.924,05","0,00",,2018
10/2018,10 - Saúde,571 - Desenvolvimento científico,"82.431.469,75","55.905.583,67","37.489.787,72","11.969.931,40",,2018
10/2018,10 - Saúde,122 - Administração geral,"608.164.525,73","960.568.239,87","968.473.308,57","12.607.024,63",,2018
10/2018,10 - Saúde,302 - Assistência hospitalar e ambulatorial,"7.807.515.412,99","6.764.400.472,99","4.229.493.515,27","74.807.383,59",,2018
11/2018,10 - Saúde,845 - Outras transferências,"34.000.000,00","3.830.665,00","3.830.665,00","0,00",,2018
11/2018,10 - Saúde,124 - Controle interno,"0,00","486.578,24","81.736,12","0,00",,2018
11/2018,10 - Saúde,846 - Outros encargos especiais,"31.263.641,93","199.824.618,58","199.824.618,58","0,00",,2018
11/2018,10 - Saúde,572 - Desenvolvimento tecnológico e engenharia,"34.754.952,39","3.141.589,66","9.114.550,45","1.528.993,40",,2018
11/2018,10 - Saúde,541 - Preservação e conservação ambiental,"2.752.848,77","38.742,63","39.471,71","182.527,26",,2018
11/2018,10 - Saúde,"391 - Patrimônio histórico, artístico e arqueológico","50.154,70","213.264,76","1.091.298,29","46.751,00",,2018
11/2018,10 - Saúde,121 - Planejamento e orçamento,"105.151,85","2.058.790,94","2.049.561,73","11.980,00",,2018
11/2018,10 - Saúde,573 - Difusão do conhecimento científico e tecnológico,"1.202.209,11","1.253.836,89","3.531.743,65","2.553,66",,2018
11/2018,10 - Saúde,125 - Normatização e fiscalização,"1.274.076,24","1.588.095,99","1.587.390,15","0,00",,2018
11/2018,10 - Saúde,306 - Alimentação e nutrição,"176.518,95","8.225.047,71","6.591.329,02","2.043.784,00",,2018
11/2018,10 - Saúde,512 - Saneamento básico urbano,"107.539.759,86","19.596.159,01","19.630.089,37","31.531.469,10",,2018
11/2018,10 - Saúde,131 - Comunicação social,"602.072,03","17.758.414,27","17.202.226,31","325.852,52",,2018
11/2018,10 - Saúde,"422 - Direitos individuais, coletivos e difusos","15.808.936,45","1.125.737,10","852.382,45","319.658,74",,2018
11/2018,10 - Saúde,331 - Proteção e benefícios ao trabalhador,"10.135.274,66","48.548.142,46","49.004.863,84","0,00",,2018
11/2018,10 - Saúde,303 - Suporte profilático e terapêutico,"970.061.614,04","1.060.674.727,09","963.240.072,22","12.120.767,75",,2018
11/2018,10 - Saúde,126 - Tecnologia da informação,"26.710.426,68","24.184.725,38","24.798.103,56","1.216.020,75",,2018
11/2018,10 - Saúde,511 - Saneamento básico rural,"19.707.883,76","10.704.276,72","8.848.686,65","16.013.739,22",,2018
11/2018,10 - Saúde,301 - Atenção básica,"824.141.989,40","1.565.525.135,86","1.565.963.300,92","38.189.073,04",,2018
11/2018,10 - Saúde,305 - Vigilância epidemiológica,"693.147.066,28","331.757.710,87","551.181.900,49","78.328.734,86",,2018
11/2018,10 - Saúde,571 - Desenvolvimento científico,"60.731.787,29","50.488.918,15","49.233.305,92","3.913.170,92",,2018
11/2018,10 - Saúde,122 - Administração geral,"341.955.710,11","1.856.483.069,38","1.830.011.233,40","2.590.651,34",,2018
11/2018,10 - Saúde,304 - Vigilância sanitária,"26.705.506,42","42.000.406,55","41.815.430,53","888.585,97",,2018
11/2018,10 - Saúde,302 - Assistência hospitalar e ambulatorial,"4.199.197.968,78","5.171.075.328,09","4.354.987.798,01","48.597.652,43",,2018
11/2018,10 - Saúde,128 - Formação de recursos humanos,"- 2.583.432,91","79.821.550,71","79.615.510,54","886.519,88",,2018
11/2018,10 - Saúde,423 - Assistência aos povos indígenas,"121.481.187,84","72.084.081,81","76.628.076,33","1.154.309,04",,2018
12/2018,10 - Saúde,845 - Outras transferências,"0,00","30.000.000,00","30.000.000,00","0,00",,2018
12/2018,10 - Saúde,846 - Outros encargos especiais,"- 45.036.873,90","104.150.509,70","90.435.029,92","0,00",,2018
12/2018,10 - Saúde,364 - Ensino superior,"0,00","0,00","0,00","0,00",,2018
12/2018,10 - Saúde,121 - Planejamento e orçamento,"8.403.415,08","5.085.768,93","1.398.181,76","17.570,00",,2018
12/2018,10 - Saúde,541 - Preservação e conservação ambiental,"12.550.814,49","217.598,47","219.377,85","194.306,24",,2018
12/2018,10 - Saúde,125 - Normatização e fiscalização,"799.516,60","1.982.195,51","1.988.721,51","5.439,02",,2018
12/2018,10 - Saúde,511 - Saneamento básico rural,"32.469.556,62","17.170.629,62","20.251.926,97","16.649.391,04",,2018
12/2018,10 - Saúde,306 - Alimentação e nutrição,"12.841.460,95","6.204.314,94","726.253,76","72.170,00",,2018
12/2018,10 - Saúde,126 - Tecnologia da informação,"51.861.976,93","30.699.174,53","41.466.774,90","2.144.089,62",,2018
12/2018,10 - Saúde,124 - Controle interno,"3.956.295,75","46.978,22","463.228,22","0,00",,2018
12/2018,10 - Saúde,573 - Difusão do conhecimento científico e tecnológico,"810.534,22","1.113.129,61","1.216.929,77","442,00",,2018
12/2018,10 - Saúde,"422 - Direitos individuais, coletivos e difusos","8.037.859,02","18.485.878,59","18.088.670,91","29.938,97",,2018
12/2018,10 - Saúde,305 - Vigilância epidemiológica,"889.995.854,88","530.641.457,50","606.236.647,99","34.645.803,85",,2018
12/2018,10 - Saúde,131 - Comunicação social,"27.788.278,90","52.781.200,04","56.329.857,08","28.559,17",,2018
12/2018,10 - Saúde,571 - Desenvolvimento científico,"92.123.127,93","61.112.296,38","56.706.798,08","4.980.128,10",,2018
12/2018,10 - Saúde,303 - Suporte profilático e terapêutico,"2.056.602.900,93","1.442.550.857,98","1.561.735.094,37","338.442.111,63",,2018
12/2018,10 - Saúde,128 - Formação de recursos humanos,"29.894.341,98","96.196.790,36","40.637.811,37","4.849.349,68",,2018
12/2018,10 - Saúde,423 - Assistência aos povos indígenas,"66.876.285,95","267.052.312,95","301.235.181,04","1.109.596,61",,2018
12/2018,10 - Saúde,572 - Desenvolvimento tecnológico e engenharia,"104.003.020,73","15.986.393,26","15.792.904,22","2.149.357,06",,2018
12/2018,10 - Saúde,304 - Vigilância sanitária,"11.485.676,81","33.598.478,74","34.308.509,12","107.995,23",,2018
12/2018,10 - Saúde,301 - Atenção básica,"1.429.430.634,78","2.853.260.753,73","2.719.812.020,14","148.883.389,04",,2018
12/2018,10 - Saúde,512 - Saneamento básico urbano,"112.185.285,09","25.625.847,30","25.398.592,86","53.357.602,61",,2018
12/2018,10 - Saúde,331 - Proteção e benefícios ao trabalhador,"- 22.578.345,40","49.200.222,20","7.413.623,66","0,00",,2018
12/2018,10 - Saúde,122 - Administração geral,"1.734.655.282,07","2.039.796.021,37","1.489.293.172,98","182.627.541,84",,2018
12/2018,10 - Saúde,302 - Assistência hospitalar e ambulatorial,"1.628.314.751,65","1.673.623.001,66","5.031.531.653,77","221.918.161,30",,2018
12/2018,10 - Saúde,"391 - Patrimônio histórico, artístico e arqueológico","24.841,12","186.040,55","56.530,21","570,00",,2018
01/2019,10 - Saúde,124 - Controle interno,"69.600,00","0,00","0,00","5.010,03",,2019
01/2019,10 - Saúde,846 - Outros encargos especiais,"1.343.197.305,00","100.045.936,94","100.045.850,00","13.728.100,20",,2019
01/2019,10 - Saúde,364 - Ensino superior,"0,00","0,00","0,00","0,00",,2019
01/2019,10 - Saúde,541 - Preservação e conservação ambiental,"374.030,88","0,00","0,00","530.058,17",,2019
01/2019,10 - Saúde,126 - Tecnologia da informação,"18.373.767,09","129.470,05","129.470,05","21.072.448,66",,2019
01/2019,10 - Saúde,131 - Comunicação social,"1.002.000,00","0,00","0,00","21.681.623,90",,2019
01/2019,10 - Saúde,573 - Difusão do conhecimento científico e tecnológico,"2.022.826,71","1.879.331,57","1.109.505,86","317.897,69",,2019
01/2019,10 - Saúde,511 - Saneamento básico rural,"1.330.257,52","410.076,62","11.250,00","7.867.767,65",,2019
01/2019,10 - Saúde,512 - Saneamento básico urbano,"144.000,00","0,00","0,00","26.088.796,44",,2019
01/2019,10 - Saúde,128 - Formação de recursos humanos,"75.913.282,99","62.601.515,13","9.479.015,69","62.511.843,83",,2019
01/2019,10 - Saúde,306 - Alimentação e nutrição,"0,00","0,00","0,00","11.242.538,39",,2019
01/2019,10 - Saúde,301 - Atenção básica,"2.510.482.252,76","698.098.475,94","574.520.707,29","276.242.554,37",,2019
01/2019,10 - Saúde,303 - Suporte profilático e terapêutico,"743.047.249,66","164.552.732,15","131.411.263,16","531.436.042,57",,2019
01/2019,10 - Saúde,305 - Vigilância epidemiológica,"1.456.043.108,01","38.790.665,58","3.452.485,97","168.779.607,35",,2019
01/2019,10 - Saúde,304 - Vigilância sanitária,"3.533.170,90","953.619,97","817.249,63","3.601.497,87",,2019
01/2019,10 - Saúde,125 - Normatização e fiscalização,"2.451.921,25","73.895,54","68.617,32","1.400.241,62",,2019
01/2019,10 - Saúde,572 - Desenvolvimento tecnológico e engenharia,"0,00","0,00","0,00","10.900.636,61",,2019
01/2019,10 - Saúde,"422 - Direitos individuais, coletivos e difusos","55.200,00","1.703,45","0,00","822.694,73",,2019
01/2019,10 - Saúde,"391 - Patrimônio histórico, artístico e arqueológico","0,00","0,00","0,00","152.828,37",,2019
01/2019,10 - Saúde,331 - Proteção e benefícios ao trabalhador,"516.669.989,56","46.017.572,60","5.396.472,84","43.261.118,54",,2019
01/2019,10 - Saúde,423 - Assistência aos povos indígenas,"151.485.017,30","28.714.956,89","387.484,66","58.129.203,28",,2019
01/2019,10 - Saúde,121 - Planejamento e orçamento,"291.000,00","6.293,12","6.293,12","4.511.207,58",,2019
01/2019,10 - Saúde,571 - Desenvolvimento científico,"22.333.920,44","13.109.722,66","6.179.704,60","26.115.026,47",,2019
01/2019,10 - Saúde,122 - Administração geral,"7.329.686.066,01","648.110.424,75","212.405.651,74","647.900.173,55",,2019
01/2019,10 - Saúde,302 - Assistência hospitalar e ambulatorial,"4.910.398.282,60","3.681.822.458,55","3.642.464.041,16","222.362.497,56",,2019
02/2019,10 - Saúde,124 - Controle interno,"50,00","0,00","0,00","5.171,95",,2019
02/2019,10 - Saúde,846 - Outros encargos especiais,"0,00","94.942.737,73","94.942.737,73","3.531,99",,2019
02/2019,10 - Saúde,306 - Alimentação e nutrição,"0,00","0,00","0,00","86.310,00",,2019
02/2019,10 - Saúde,"391 - Patrimônio histórico, artístico e arqueológico","0,00","0,00","0,00","3.381,28",,2019
02/2019,10 - Saúde,126 - Tecnologia da informação,"35.681.329,26","3.425.646,06","918.825,46","25.469.429,98",,2019
02/2019,10 - Saúde,121 - Planejamento e orçamento,"94.597,12","29.305,35","29.305,35","117.149,31",,2019
02/2019,10 - Saúde,131 - Comunicação social,"41.200.614,50","826.607,83","826.607,83","19.293.389,37",,2019
02/2019,10 - Saúde,512 - Saneamento básico urbano,"0,00","0,00","0,00","16.597.824,95",,2019
02/2019,10 - Saúde,511 - Saneamento básico rural,"1.963.071,30","1.052.692,57","357.578,28","9.207.265,31",,2019
02/2019,10 - Saúde,423 - Assistência aos povos indígenas,"71.429.967,92","145.265.209,66","136.806.836,17","12.627.722,11",,2019
02/2019,10 - Saúde,"422 - Direitos individuais, coletivos e difusos","616.700,00","636.529,74","4.599,09","3.068.816,61",,2019
02/2019,10 - Saúde,303 - Suporte profilático e terapêutico,"1.571.397.913,36","533.529.058,10","476.893.848,40","685.426.044,53",,2019
02/2019,10 - Saúde,128 - Formação de recursos humanos,"78.491.772,40","77.554.330,49","70.856.010,71","3.299.661,15",,2019
02/2019,10 - Saúde,331 - Proteção e benefícios ao trabalhador,"7.650.271,82","47.427.921,86","46.238.971,69","120.848,70",,2019
02/2019,10 - Saúde,301 - Atenção básica,"1.613.185.264,08","2.394.463.068,34","1.721.063.806,09","37.449.340,19",,2019
02/2019,10 - Saúde,122 - Administração geral,"140.044.494,14","666.332.125,44","678.852.465,43","25.464.465,55",,2019
02/2019,10 - Saúde,571 - Desenvolvimento científico,"28.403.421,66","18.622.586,00","20.184.833,09","25.376.899,27",,2019
02/2019,10 - Saúde,125 - Normatização e fiscalização,"2.784.166,32","1.068.991,81","1.042.351,34","117.548,51",,2019
02/2019,10 - Saúde,573 - Difusão do conhecimento científico e tecnológico,"2.173.116,17","1.181.194,67","1.814.573,02","317.054,55",,2019
02/2019,10 - Saúde,304 - Vigilância sanitária,"133.745.071,66","2.244.629,25","2.265.079,46","1.450.714,52",,2019
02/2019,10 - Saúde,302 - Assistência hospitalar e ambulatorial,"7.461.314.905,41","7.452.461.875,09","4.065.680.528,25","266.159.704,28",,2019
02/2019,10 - Saúde,305 - Vigilância epidemiológica,"492.223.934,81","470.023.255,92","249.334.220,21","240.324.223,12",,2019
02/2019,10 - Saúde,572 - Desenvolvimento tecnológico e engenharia,"1.404.206,64","0,00","0,00","14.038.113,24",,2019
02/2019,10 - Saúde,541 - Preservação e conservação ambiental,"0,00","6.554,00","0,00","391.023,64",,2019
03/2019,10 - Saúde,124 - Controle interno,"900.000,00","852.251,43","19.751,43","6.932,48",,2019
03/2019,10 - Saúde,541 - Preservação e conservação ambiental,"0,00","10.000,00","16.554,00","219.850,45",,2019
03/2019,10 - Saúde,131 - Comunicação social,"1.994.066,58","5.815.059,36","4.895.229,67","2.586.475,42",,2019
03/2019,10 - Saúde,121 - Planejamento e orçamento,"6.664,00","33.314,33","33.314,33","13.315,73",,2019
03/2019,10 - Saúde,"391 - Patrimônio histórico, artístico e arqueológico","760.972,71","750.563,38","630.304,14","64.733,62",,2019
03/2019,10 - Saúde,846 - Outros encargos especiais,"0,00","95.948.672,44","95.948.672,44","52.216,90",,2019
03/2019,10 - Saúde,306 - Alimentação e nutrição,"0,00","0,00","0,00","7.641.389,00",,2019
03/2019,10 - Saúde,"422 - Direitos individuais, coletivos e difusos","1.506.145,34","594.325,56","1.203.159,66","2.218.787,09",,2019
03/2019,10 - Saúde,572 - Desenvolvimento tecnológico e engenharia,"10.250.493,61","3.789.840,46","1.151.313,03","10.814.557,33",,2019
03/2019,10 - Saúde,511 - Saneamento básico rural,"13.009.458,53","977.071,05","1.285.334,16","8.800.871,08",,2019
03/2019,10 - Saúde,573 - Difusão do conhecimento científico e tecnológico,"2.113.344,34","1.313.383,97","896.274,12","138.055,18",,2019
03/2019,10 - Saúde,128 - Formação de recursos humanos,"97.516.363,55","73.442.621,73","81.727.676,67","1.071.898,43",,2019
03/2019,10 - Saúde,331 - Proteção e benefícios ao trabalhador,"9.326.848,41","46.815.903,66","47.068.225,49","51.954,57",,2019
03/2019,10 - Saúde,125 - Normatização e fiscalização,"2.260.143,96","1.812.224,18","1.805.371,23","57.231,90",,2019
03/2019,10 - Saúde,126 - Tecnologia da informação,"22.085.472,97","10.731.638,47","9.692.877,99","7.693.450,50",,2019
03/2019,10 - Saúde,512 - Saneamento básico urbano,"5.390.847,83","50.512,29","50.512,29","21.625.679,93",,2019
03/2019,10 - Saúde,301 - Atenção básica,"706.558.426,27","964.114.154,65","1.638.225.024,95","107.401.191,11",,2019
03/2019,10 - Saúde,571 - Desenvolvimento científico,"39.605.416,01","24.565.106,50","21.812.355,92","17.047.320,31",,2019
03/2019,10 - Saúde,423 - Assistência aos povos indígenas,"37.499.250,55","46.093.841,64","50.067.254,44","12.168.839,03",,2019
03/2019,10 - Saúde,305 - Vigilância epidemiológica,"243.775.014,82","204.005.176,08","438.157.662,49","483.994.307,38",,2019
03/2019,10 - Saúde,122 - Administração geral,"164.199.659,10","674.242.322,94","665.606.721,42","41.227.983,82",,2019
03/2019,10 - Saúde,303 - Suporte profilático e terapêutico,"817.728.308,92","664.689.250,06","697.033.438,18","375.244.857,38",,2019
03/2019,10 - Saúde,304 - Vigilância sanitária,"6.754.547,44","3.536.813,47","3.275.461,99","1.761.221,22",,2019
03/2019,10 - Saúde,302 - Assistência hospitalar e ambulatorial,"1.003.094.999,56","928.029.794,33","4.195.540.717,09","212.219.100,81",,2019
04/2019,10 - Saúde,124 - Controle interno,"2.900.294,00","2.870.222,32","2.884.201,30","403.927,61",,2019
04/2019,10 - Saúde,306 - Alimentação e nutrição,"0,00","0,00","0,00","972.970,00",,2019
04/2019,10 - Saúde,541 - Preservação e conservação ambiental,"0,00","36.235,68","0,00","2.669,04",,2019
04/2019,10 - Saúde,846 - Outros encargos especiais,"5,71","94.456.498,33","94.456.498,33","0,00",,2019
04/2019,10 - Saúde,"422 - Direitos individuais, coletivos e difusos","2.423.988,34","671.757,35","696.557,35","1.293.343,37",,2019
04/2019,10 - Saúde,131 - Comunicação social,"20.809.520,67","9.179.641,26","6.910.703,40","1.460.436,97",,2019
04/2019,10 - Saúde,"391 - Patrimônio histórico, artístico e arqueológico","1.681.506,50","896.878,38","913.794,88","13.249,34",,2019
04/2019,10 - Saúde,572 - Desenvolvimento tecnológico e engenharia,"989.770,22","1.428.444,75","2.790.749,54","15.518.903,59",,2019
04/2019,10 - Saúde,573 - Difusão do conhecimento científico e tecnológico,"2.614.326,45","2.312.433,67","2.511.635,91","75.526,45",,2019
04/2019,10 - Saúde,511 - Saneamento básico rural,"7.781.200,45","6.933.211,83","6.411.538,69","7.027.641,72",,2019
04/2019,10 - Saúde,128 - Formação de recursos humanos,"240.250.589,19","113.106.097,50","90.054.848,42","1.948.826,95",,2019
04/2019,10 - Saúde,512 - Saneamento básico urbano,"67.216.552,97","10.451.664,08","10.444.533,03","29.630.564,16",,2019
04/2019,10 - Saúde,125 - Normatização e fiscalização,"3.929.821,48","2.074.114,06","2.081.292,11","0,00",,2019
04/2019,10 - Saúde,121 - Planejamento e orçamento,"- 22.000,00","20.889,65","20.316,57","4.392.977,32",,2019
04/2019,10 - Saúde,305 - Vigilância epidemiológica,"487.222.658,63","719.606.953,28","674.250.363,42","302.808.122,02",,2019
04/2019,10 - Saúde,126 - Tecnologia da informação,"64.222.751,23","15.872.969,19","19.227.440,29","1.319.126,50",,2019
04/2019,10 - Saúde,301 - Atenção básica,"2.994.171.740,55","1.693.648.909,41","1.663.027.906,69","254.559.325,90",,2019
04/2019,10 - Saúde,304 - Vigilância sanitária,"4.395.455,94","90.321.813,75","90.605.613,77","849.227,65",,2019
04/2019,10 - Saúde,423 - Assistência aos povos indígenas,"616.003.925,55","258.237.883,08","244.833.906,54","3.287.856,67",,2019
04/2019,10 - Saúde,122 - Administração geral,"181.158.695,43","676.459.828,93","696.377.583,77","62.002.985,14",,2019
04/2019,10 - Saúde,303 - Suporte profilático e terapêutico,"1.858.256.061,06","431.592.877,63","392.509.024,42","346.494.677,33",,2019
04/2019,10 - Saúde,571 - Desenvolvimento científico,"61.979.524,12","29.506.271,73","28.914.287,15","24.994.318,22",,2019
04/2019,10 - Saúde,331 - Proteção e benefícios ao trabalhador,"8.135.918,78","46.972.795,71","46.680.951,93","21.251,35",,2019
04/2019,10 - Saúde,302 - Assistência hospitalar e ambulatorial,"4.421.583.796,79","4.215.210.906,98","4.200.550.264,26","399.369.164,65",,2019
05/2019,10 - Saúde,124 - Controle interno,"0,00","- 409.133,66","409.387,36","13.978,98",,2019
05/2019,10 - Saúde,846 - Outros encargos especiais,"0,00","93.753.898,68","93.753.898,68","0,00",,2019
05/2019,10 - Saúde,131 - Comunicação social,"1.606.485,13","13.420.881,13","12.885.430,46","913.269,25",,2019
05/2019,10 - Saúde,"422 - Direitos individuais, coletivos e difusos","- 3.500,00","532.032,08","16.801,73","46.832,32",,2019
